"Yaş grubu, cinsiyet ve yasal medeni duruma göre ölümler, 2009-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"Deaths by age group, sex and legal marital status, 2009-2023",,,,,,,,
[15 ve daha yukarı yaş-15 years of age and over],,,,,,,,
,,,,Yasal medeni durum-Legal marital status,,,,
Yıl,Yaş grubu,Cinsiyet,Toplam,Hiç evlenmedi,Evli,Eşi öldü,Boşandı,Bilinmeyen
Year,Age group,Sex,Total,Never married,Married,Widowed,Divorced,Unknown
2023,,,,,,,,
,Total,Erkek-Male,224032,14519,158580,39744,11184,5
,,Kadın-Female,185368,8645,57150,112203,7367,3
,,,,,,,,
,15-19,Toplam-Total,2982,2927,52,1,2,-
,,Erkek-Male,2166,2154,12,-,-,-
,,Kadın-Female,816,773,40,1,2,-
,,,,,,,,
,20-24,Toplam-Total,3397,2932,422,5,37,1
,,Erkek-Male,2583,2352,213,-,17,1
,,Kadın-Female,814,580,209,5,20,-
,,,,,,,,
,25-29,Toplam-Total,3447,2016,1275,12,144,-
,,Erkek-Male,2605,1669,849,4,83,-
,,Kadın-Female,842,347,426,8,61,-
,,,,,,,,
,30-34,Toplam-Total,3801,1351,2146,32,272,-
,,Erkek-Male,2634,1039,1419,10,166,-
,,Kadın-Female,1167,312,727,22,106,-
,,,,,,,,
,35-39,Toplam-Total,5149,1237,3416,45,451,-
,,Erkek-Male,3338,879,2163,13,283,-
,,Kadın-Female,1811,358,1253,32,168,-
,,,,,,,,
,40-44,Toplam-Total,6921,1060,4997,105,759,-
,,Erkek-Male,4543,691,3329,34,489,-
,,Kadın-Female,2378,369,1668,71,270,-
,,,,,,,,
,45-49,Toplam-Total,9982,1030,7632,252,1068,-
,,Erkek-Male,6682,691,5227,56,708,-
,,Kadın-Female,3300,339,2405,196,360,-
,,,,,,,,
,50-54,Toplam-Total,16230,1331,12664,614,1621,-
,,Erkek-Male,11014,864,8898,139,1113,-
,,Kadın-Female,5216,467,3766,475,508,-
,,,,,,,,
,55-59,Toplam-Total,22643,1286,17709,1503,2144,1
,,Erkek-Male,15696,844,12965,382,1505,-
,,Kadın-Female,6947,442,4744,1121,639,1
,,,,,,,,
,60-64,Toplam-Total,32698,1346,25538,3487,2326,1
,,Erkek-Male,22261,839,18895,898,1628,1
,,Kadın-Female,10437,507,6643,2589,698,-
,,,,,,,,
,65-69,Toplam-Total,39686,1188,29531,6786,2181,-
,,Erkek-Male,25501,653,21722,1643,1483,-
,,Kadın-Female,14185,535,7809,5143,698,-
,,,,,,,,
,70-74,Toplam-Total,46488,1151,30615,12830,1890,2
,,Erkek-Male,27606,600,22615,3215,1174,2
,,Kadın-Female,18882,551,8000,9615,716,-
,,,,,,,,
,75+,Toplam-Total,215976,4309,79733,126275,5656,3
,,Erkek-Male,97403,1244,60273,33350,2535,1
,,Kadın-Female,118573,3065,19460,92925,3121,2
,,,,,,,,
,Bilinmeyen,Toplam-Total,-,-,-,-,-,-
,Unknown ,Erkek-Male,-,-,-,-,-,-
,,Kadın-Female,-,-,-,-,-,-
2016,,,,,,,,
,Toplam,Toplam-Total,404248,23691,213906,149019,17629,3
,Total,Erkek-Male,221291,14959,156813,38961,10556,2
,,Kadın-Female,182957,8732,57093,110058,7073,1
,,,,,,,,
,15-19,Toplam-Total,3288,3245,41,-,2,-
,,Erkek-Male,2408,2395,13,-,-,-
,,Kadın-Female,880,850,28,-,2,-
,,,,,,,,
,20-24,Toplam-Total,3852,3287,515,12,38,-
,,Erkek-Male,2956,2685,250,4,17,-
,,Kadın-Female,896,602,265,8,21,-
,,,,,,,,
,25-29,Toplam-Total,3828,2181,1502,16,129,-
,,Erkek-Male,2873,1792,998,6,77,-
,,Kadın-Female,955,389,504,10,52,-
,,,,,,,,
,30-34,Toplam-Total,4054,1391,2379,37,247,-
,,Erkek-Male,2878,1061,1648,15,154,-
,,Kadın-Female,1176,330,731,22,93,-
,,,,,,,,
,35-39,Toplam-Total,5239,1161,3539,51,486,2
,,Erkek-Male,3450,820,2328,15,286,1
,,Kadın-Female,1789,341,1211,36,200,1
,,,,,,,,
,40-44,Toplam-Total,6932,1031,5051,119,731,-
,,Erkek-Male,4488,668,3332,27,461,-
,,Kadın-Female,2444,363,1719,92,270,-
,,,,,,,,
,45-49,Toplam-Total,9629,1025,7370,232,1002,-
,,Erkek-Male,6385,644,4990,57,694,-
,,Kadın-Female,3244,381,2380,175,308,-
,,,,,,,,
,50-54,Toplam-Total,16854,1370,13202,713,1569,-
,,Erkek-Male,11490,873,9372,164,1081,-
,,Kadın-Female,5364,497,3830,549,488,-
,,,,,,,,
,55-59,Toplam-Total,22051,1248,17492,1408,1903,-
,,Erkek-Male,15237,808,12788,318,1323,-
,,Kadın-Female,6814,440,4704,1090,580,-
,,,,,,,,
,60-64,Toplam-Total,32751,1284,25802,3487,2178,-
,,Erkek-Male,22125,808,18974,852,1491,-
,,Kadın-Female,10626,476,6828,2635,687,-
,,,,,,,,
,65-69,Toplam-Total,38870,1218,28672,6902,2077,1
,,Erkek-Male,24795,728,21036,1651,1379,1
,,Kadın-Female,14075,490,7636,5251,698,-
,,,,,,,,
,70-74,Toplam-Total,46446,1089,30573,13023,1761,-
,,Erkek-Male,27333,556,22423,3273,1081,-
,,Kadın-Female,19113,533,8150,9750,680,-
,,,,,,,,
,75+,Toplam-Total,210454,4161,77768,123019,5506,-
,,Erkek-Male,94873,1121,58661,32579,2512,-
,,Kadın-Female,115581,3040,19107,90440,2994,-
,,,,,,,,
,Bilinmeyen,Toplam-Total,-,-,-,-,-,-
,Unknown ,Erkek-Male,-,-,-,-,-,-
,,Kadın-Female,-,-,-,-,-,-
2015,,,,,,,,
,Toplam,Toplam-Total,386036,21805,206133,141168,16929,1
,Total,Erkek-Male,211261,13441,150669,37143,10007,1
,,Kadın-Female,174775,8364,55464,104025,6922,-
,,,,,,,,
,15-19,Toplam-Total,3153,3092,57,2,2,-
,,Erkek-Male,2273,2264,8,1,-,-
,,Kadın-Female,880,828,49,1,2,-
,,,,,,,,
,20-24,Toplam-Total,3347,2843,447,8,49,-
,,Erkek-Male,2526,2298,207,1,20,-
,,Kadın-Female,821,545,240,7,29,-
,,,,,,,,
,25-29,Toplam-Total,3353,1918,1288,31,116,-
,,Erkek-Male,2454,1516,859,11,68,-
,,Kadın-Female,899,402,429,20,48,-
,,,,,,,,
,30-34,Toplam-Total,3829,1273,2254,30,272,-
,,Erkek-Male,2675,957,1541,13,164,-
,,Kadın-Female,1154,316,713,17,108,-
,,,,,,,,
,35-39,Toplam-Total,4631,987,3151,50,443,-
,,Erkek-Male,2994,669,2040,19,266,-
,,Kadın-Female,1637,318,1111,31,177,-
,,,,,,,,
,40-44,Toplam-Total,6696,970,4938,120,668,-
,,Erkek-Male,4295,626,3205,27,437,-
,,Kadın-Female,2401,344,1733,93,231,-
,,,,,,,,
,45-49,Toplam-Total,9677,1019,7438,269,950,1
,,Erkek-Male,6439,653,5080,56,649,1
,,Kadın-Female,3238,366,2358,213,301,-
,,,,,,,,
,50-54,Toplam-Total,16023,1182,12695,663,1483,-
,,Erkek-Male,10987,759,9075,137,1016,-
,,Kadın-Female,5036,423,3620,526,467,-
,,,,,,,,
,55-59,Toplam-Total,23121,1226,18415,1479,2001,-
,,Erkek-Male,16024,794,13494,341,1395,-
,,Kadın-Female,7097,432,4921,1138,606,-
,,,,,,,,
,60-64,Toplam-Total,29543,1118,23209,3284,1932,-
,,Erkek-Male,19916,671,17080,840,1325,-
,,Kadın-Female,9627,447,6129,2444,607,-
,,,,,,,,
,65-69,Toplam-Total,37237,1059,27607,6658,1913,-
,,Erkek-Male,23578,593,20114,1608,1263,-
,,Kadın-Female,13659,466,7493,5050,650,-
,,,,,,,,
,70-74,Toplam-Total,44716,1095,29323,12672,1626,-
,,Erkek-Male,26122,543,21420,3178,981,-
,,Kadın-Female,18594,552,7903,9494,645,-
,,,,,,,,
,75+,Toplam-Total,200710,4023,75311,115902,5474,-
,,Erkek-Male,90978,1098,56546,30911,2423,-
,,Kadın-Female,109732,2925,18765,84991,3051,-
,,,,,,,,
,Bilinmeyen,Toplam-Total,-,-,-,-,-,-
,Unknown ,Erkek-Male,-,-,-,-,-,-
,,Kadın-Female,-,-,-,-,-,-
2014,,,,,,,,
,Toplam,Toplam-Total,369985,20795,199008,134833,15312,37
,Total,Erkek-Male,201908,12651,145141,35091,9000,25
,,Kadın-Female,168077,8144,53867,99742,6312,12
,,,,,,,,
,15-19,Toplam-Total,3019,2955,61,-,1,2
,,Erkek-Male,2212,2195,16,-,-,1
,,Kadın-Female,807,760,45,-,1,1
,,,,,,,,
,20-24,Toplam-Total,3327,2758,508,6,53,2
,,Erkek-Male,2408,2142,244,-,20,2
,,Kadın-Female,919,616,264,6,33,-
,,,,,,,,
,25-29,Toplam-Total,3178,1701,1343,16,114,4
,,Erkek-Male,2312,1343,892,5,68,4
,,Kadın-Female,866,358,451,11,46,-
,,,,,,,,
,30-34,Toplam-Total,3881,1226,2349,30,273,3
,,Erkek-Male,2677,913,1598,15,150,1
,,Kadın-Female,1204,313,751,15,123,2
,,,,,,,,
,35-39,Toplam-Total,4701,993,3261,41,403,3
,,Erkek-Male,3033,644,2116,9,262,2
,,Kadın-Female,1668,349,1145,32,141,1
,,,,,,,,
,40-44,Toplam-Total,6870,908,5234,116,607,5
,,Erkek-Male,4497,575,3496,32,391,3
,,Kadın-Female,2373,333,1738,84,216,2
,,,,,,,,
,45-49,Toplam-Total,10154,1029,7919,288,915,3
,,Erkek-Male,6694,622,5398,51,622,1
,,Kadın-Female,3460,407,2521,237,293,2
,,,,,,,,
,50-54,Toplam-Total,15926,1126,12723,693,1383,1
,,Erkek-Male,10893,726,9045,162,959,1
,,Kadın-Female,5033,400,3678,531,424,-
,,,,,,,,
,55-59,Toplam-Total,22202,1173,17850,1491,1685,3
,,Erkek-Male,15269,768,12964,364,1170,3
,,Kadın-Female,6933,405,4886,1127,515,-
,,,,,,,,
,60-64,Toplam-Total,28751,1004,22689,3257,1798,3
,,Erkek-Male,19342,613,16689,784,1253,3
,,Kadın-Female,9409,391,6000,2473,545,-
,,,,,,,,
,65-69,Toplam-Total,34586,945,25577,6478,1583,3
,,Erkek-Male,21683,538,18602,1531,1011,1
,,Kadın-Female,12903,407,6975,4947,572,2
,,,,,,,,
,70-74,Toplam-Total,43399,1025,28240,12579,1554,1
,,Erkek-Male,25141,495,20574,3161,910,1
,,Kadın-Female,18258,530,7666,9418,644,-
,,,,,,,,
,75+,Toplam-Total,189991,3952,71254,109838,4943,4
,,Erkek-Male,85747,1077,53507,28977,2184,2
