,,,,,2009(1),,,,,,,,,,,,2010(1),,,,,,,,,,,,2011(1),,,,,,,,,,,,2012(1),,,,,,,,,,,,2013(1),,,,,,,,,,,,2014(1),,,,,,,,,,,,2015(1),,,,,,,,,,,,2016(1),,,,,,,,,,,,2017(1),,,,,,,,,
,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,
Ölüm nedeni,,,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen
Cause of death,,,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown
,,,Bilinmeyen - Unknown,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,-,-,-,-,,1,-,-,-,-,1,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,1,-,-,-,-,1,-,-,-,-,-
Sinir sistemi ve duyu organları hastalıkları,,,Toplam - Total,8284,827,307,249,248,374,574,1250,3148,1295,12,,10807,836,309,252,307,439,704,1645,4347,1966,2,,11621,868,329,247,292,375,725,1663,4553,2564,5,,13775,931,339,277,305,524,822,1906,5366,3305,-,,14710,1055,392,280,321,511,801,1712,5528,4110,-,,16617,1099,438,268,336,519,826,1982,6063,5086,-,,19114,1075,409,300,326,511,894,2261,7035,6303,-,,20220,1143,461,303,370,524,969,2187,7239,7024,-,,20623,1092,439,294,393,557,943,2191,7053,7660,1
Diseases of the nervous system and ,,,Erkek - Male,4131,459,213,156,147,217,346,683,1454,449,7,,5095,433,210,145,172,270,384,865,1995,620,1,,5523,454,219,146,190,213,423,895,2121,860,2,,6339,493,223,151,173,309,498,1023,2423,1046,-,,6788,564,258,159,181,297,453,926,2571,1379,-,,7608,620,294,164,190,308,472,1096,2851,1613,-,,8594,591,268,190,171,313,513,1259,3232,2057,-,,8982,624,313,176,187,294,597,1145,3337,2309,-,,9062,600,294,200,215,305,540,1177,3240,2490,1
the sense organs,,,Kadın - Female ,4153,368,94,93,101,157,228,567,1694,846,5,,5712,403,99,107,135,169,320,780,2352,1346,1,,6098,414,110,101,102,162,302,768,2432,1704,3,,7436,438,116,126,132,215,324,883,2943,2259,-,,7922,491,134,121,140,214,348,786,2957,2731,-,,9009,479,144,104,146,211,354,886,3212,3473,-,,10520,484,141,110,155,198,381,1002,3803,4246,-,,11238,519,148,127,183,230,372,1042,3902,4715,-,,11560,491,145,94,178,252,403,1014,3813,5170,-
,,,Bilinmeyen - Unknown,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,-,-,-,-
"Endokrin (iç salgı bezi), beslenme ve metabolizmayla ilgili hastalıklar",,,Toplam - Total,17931,545,60,104,286,1092,2732,4887,6460,1761,4,,18993,473,56,101,271,1072,2806,5165,6974,2072,3,,19634,479,62,100,283,985,3015,5240,7128,2340,2,,19255,436,63,89,270,994,2852,5139,6890,2518,4,,20092,473,72,98,296,1084,2912,5193,6888,3076,-,,19430,513,70,102,254,1016,2751,4707,6670,3347,-,,19804,406,56,95,264,957,2667,4926,6713,3720,-,,20731,459,80,100,269,969,2883,5066,6819,4086,-,,20219,420,81,81,264,932,2773,4887,6589,4192,-
,,,Erkek - Male,7485,261,33,59,157,637,1397,2134,2335,472,-,,8023,246,28,48,149,645,1479,2232,2636,558,2,,8259,248,38,60,154,583,1536,2279,2714,646,1,,8172,222,30,48,167,580,1509,2288,2584,743,1,,8551,252,42,49,174,665,1553,2333,2623,860,-,,8264,250,49,53,153,564,1471,2158,2611,955,-,,8386,205,31,47,145,549,1477,2249,2591,1092,-,,8788,237,48,47,147,556,1556,2335,2633,1229,-,,8736,216,47,51,148,555,1556,2304,2615,1244,-
"Endocrine, nutritional and metabolic diseases",,,Kadın - Female ,10446,284,27,45,129,455,1335,2753,4125,1289,4,,10970,227,28,53,122,427,1327,2933,4338,1514,1,,11375,231,24,40,129,402,1479,2961,4414,1694,1,,11083,214,33,41,103,414,1343,2851,4306,1775,3,,11541,221,30,49,122,419,1359,2860,4265,2216,-,,11166,263,21,49,101,452,1280,2549,4059,2392,-,,11418,201,25,48,119,408,1190,2677,4122,2628,-,,11942,221,32,53,122,413,1327,2731,4186,2857,-,,11483,204,34,30,116,377,1217,2583,3974,2948,-
,,,Bilinmeyen - Unknown,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
Dışsal yaralanma nedenleri ve zehirlenmeler,,,Toplam - Total,11289,997,1284,1475,1269,1240,1002,1069,1774,866,313,,12981,1285,1692,1904,1569,1564,1139,1150,1717,948,13,,12690,1083,1673,1732,1496,1482,1260,1126,1792,1044,2,,13173,1123,1709,1865,1598,1575,1292,1208,1707,1093,3,,20409,1918,3092,2949,2523,2372,1975,1816,2270,1469,25,,20155,1860,2922,2826,2440,2255,1912,1783,2456,1665,36,,18936,1621,2665,2476,2113,2096,2016,1728,2387,1777,57,,21473,1690,3224,3235,2726,2505,2136,1872,2242,1798,45,,21533,1517,3143,3187,2944,2502,2368,1866,2210,1752,44
