"İllere göre kaba ölüm hızı, 2009-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Kütahya,7.153103487072027,7.0188419513034495,7.442239079981988,7.40978390327727,7.2720606208750915,7.603970923730317,7.837153778115287,7.99402674863877,8.241571239324966,8.028189953547088,8.187017260658937,9.140573297172445,10.345114114779525,8.958537651993675,8.282780239974056
Malatya,5.257456960180815,5.176216745954558,5.23564751266705,5.180570099506938,5.105895190779223,5.212514734851007,5.331784280572181,5.489609183835636,5.5625674035591,5.314097512679073,5.413219751302434,6.8678676304424835,7.152375951173112,5.770777512965128,7.378617055818633
Manisa,6.42049120570905,6.268253670280858,6.501056421668521,6.606269888423802,6.286163086163087,6.789696146614611,7.000037478108964,7.247297835928349,7.057686408402035,7.087667851931484,6.926216286084786,8.143947189203756,8.427918969249893,8.011200363772497,7.4246050010275155
Kahramanmaraş,4.152334853727207,4.0349477766727,4.096185564161663,4.144737090674153,4.127393776181927,4.176013422372345,4.135158085839989,4.501087249756025,4.37896187803453,4.350324800195733,4.493349798799715,5.510137731912594,5.709007331175856,4.882630387263947,14.754665757649995
Mardin,3.5054270971261277,3.5886345515353555,3.33147956535659,3.202219303227788,3.1157342648335487,3.353022245963943,3.311076591823722,3.628765943341026,3.3039510422452416,3.2838818876402303,3.301012666272176,4.266917981404126,4.161928600915414,3.456172672463882,3.261620874373596
Muğla,5.237780029551922,5.342357847845895,5.447428988656424,5.308176711144153,5.119308887478825,5.258992013282049,5.678207549576186,5.825444029138134,6.001533403059503,5.817741541192652,6.010368963037052,6.378297457300337,7.512683526599055,7.310592917693974,6.7331120169500425
Muş,5.148412510988597,4.555258390130273,4.221073233429732,3.7996729334296337,3.366379555662117,3.377160344708286,3.475847131023582,3.557282677628004,3.649612536912256,3.239241092086997,3.376587442963463,3.897912738466642,4.201654937557038,3.6000646420446776,3.4890079979376307
Nevşehir,6.094844835997766,6.451704033815828,6.248408724433506,6.041126809127484,6.343643213878909,6.450822969687429,6.37328386417855,6.882917692352968,6.823714981311936,6.537961483247108,6.655037257898492,7.750356924332041,8.483355493380536,7.13252450591734,7.098984832389517
Niğde,5.410042926553139,5.307943326861911,5.661125948208988,5.193096132766224,5.281257676246622,5.299931932817109,5.8433766369280535,6.109675995080148,5.870533019973161,5.6785711298879065,5.9238449189629,6.430948006157819,7.227926304361005,6.703751248038796,6.004048490300997
Ordu,6.197735629355725,5.843251148895466,6.264068868484548,6.338952616535269,6.159599626024309,6.638639298766246,6.892294819011889,7.002190550151838,7.380123234259633,7.031757153432704,7.127833146586464,7.845088209406451,10.133537239074226,9.054749741152264,7.924677873150572
Rize,5.859347490293108,6.310954527961251,5.769868155089326,6.128276603766588,5.846492028137968,6.1794815679408615,6.615479432507841,6.766389859808765,7.258842844391011,6.58575235158148,7.094330895319592,7.731565176541769,9.138852295799694,8.229927589396791,7.415171873605156
Sakarya,5.896563762871732,5.826657795417777,5.962207935833881,5.696822075660186,5.612099096524587,5.721917820806572,5.790378744855868,6.107363808325765,6.132692681131498,6.015251030279162,6.07052711544588,6.692084491668431,7.828763622966212,6.588645446239904,6.127091467935608
Samsun,5.7268174411867845,5.671318447687342,5.754621225975495,5.874291128526182,5.854709627727039,6.226402648867466,6.3814942940295465,6.55560520550615,6.6801665212040096,6.466553856864446,6.541845083445778,7.2305879455938555,8.864272428248196,7.607960107483788,7.0159364377862765
Siirt,3.6424439174666623,3.872139953037893,3.877852553246843,3.418379745939065,3.286231744934659,3.4718324666927005,3.394304519842121,3.446264861628422,3.078549372699201,3.341137450004878,3.223808444746582,4.082558403266046,4.180680190030918,3.3318709284461874,3.0734187584625827
Sinop,9.131056789201967,9.0424241223748,9.43891445090409,9.36345334843621,8.958334873201126,9.425706561328203,9.930039470561027,9.52611135931408,9.900582458434748,9.401629366045512,9.333844776882753,11.31807233904528,12.739497962600144,11.743892970740449,10.192779374715602
Sivas,6.502385605227216,6.332850151030401,6.252363544686752,6.356994413041513,6.53861478531842,6.627423933789919,6.929025805064374,7.015415686366236,7.13225086014366,6.62981333833895,6.697449524099928,8.15471684793053,8.797100651724437,7.7290733215582454,7.030128566704919
Tekirdağ,5.755166072317935,5.524152675540131,5.393180022874946,5.576051275893268,5.246711250199792,5.598450938043697,5.501338471096289,5.562111906886436,5.515740990669946,5.649040233075724,5.431251225819878,5.9453015408076,6.845404232922375,6.363895487778226,5.785642841988127
Tokat,6.834745895809993,6.621903479276566,7.085876285885094,6.703815546077891,6.826101799458728,7.081565866752241,7.084427515500332,7.45580168670591,7.473762147768662,7.297082813328372,7.44903879816516,8.341263233020102,10.02309176393753,8.358485797996865,7.945899410663893
Trabzon,6.012777151446825,5.690585221092318,6.090461498408683,5.940929918541548,5.777849597826052,6.49959115263482,6.278013469263594,6.444001664302014,6.552958571378388,6.342877967970725,6.424731132918582,7.293591424384977,8.676243487444623,7.759188649709092,6.6233351092168355
Tunceli,6.099935107073329,6.922884326489735,6.219051563726732,5.579614563027466,6.103526999953408,6.431915326684307,6.546815524643257,7.226524196376041,7.15278916273506,6.455921638468388,7.104097004477664,8.95879312088422,8.330939385234128,7.8804363999976195,6.494590719874713
Şanlıurfa,3.6669206430066112,3.68251519327407,3.659577615859748,3.507431298189447,3.28838920835958,3.2470247258026887,3.193162523037132,3.33894520326005,3.111262791680886,2.973471501869174,3.177575051290655,3.4944985163063067,3.821734429614238,3.1225583277109656,3.3370787080692526
Uşak,6.803279544935527,6.2028939913545305,6.601254149760236,7.032258064516129,6.556548781390784,6.779057052992455,6.946549998790048,6.988075033999079,7.118903091997176,7.115504071755736,7.392723533006422,8.787175211030053,8.2088185549463,7.982506875829008,7.527360440159212
Van,3.6690566192278107,3.5301069917890024,4.046745547753833,3.33187595896278,3.437180738970297,3.2463450784100423,3.2026559862580943,3.0820541139504147,3.0393084802959205,2.9910228966568417,2.926733025412944,3.69887743269211,3.7208173223650287,2.894574061444273,2.9729285340422034
Yozgat,6.33201279165393,6.067707981952565,6.334732085216269,6.198668635672598,6.289125963036343,6.731518264176164,7.274647887323944,7.386246684933984,7.23123148872621,7.396598749927397,7.322310474945669,8.611261521251466,9.221640530327903,7.988606139971469,7.879486284188234
Zonguldak,6.198732326954073,5.945873991036817,6.015701532900092,6.120106683468246,6.087274665713099,6.498034344610756,6.6543735137519535,6.891056123060319,6.915513522926686,7.407716928939736,7.212203878566692,7.786014317034979,9.391237780382221,8.421363544543599,8.122020132169267
Aksaray,4.896288319141678,4.867366902965489,4.968743719656023,4.7078174547735845,4.426258094375269,4.880986835415314,4.815988250649354,4.818772528144619,5.178474665144911,4.876156429848165,5.045025038048904,5.801915227704324,6.529903295465215,5.6233210071869,5.332972294474614
Bayburt,6.410213784619477,5.431794101473961,5.624073681981792,6.031956255204201,6.749572372983218,6.477753525318927,6.320802729380422,5.749715477996965,6.167519683885304,6.134328266468336,5.768413746058151,7.400166713642333,8.02625904451579,6.1908165616157556,5.754956309311284
Karaman,5.657800470545456,5.829861895996814,5.970366751100425,5.939130305115364,5.437687356214997,5.728610226614621,5.922604122198782,6.006486185081775,5.992500233605941,6.374038529037176,5.9700074427148495,6.965788924789157,7.47435071444282,6.496355421454907,6.512982137889245
