"İl ve cinsiyete göre bebek ölümleri, 2009-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"Infant deaths by province and sex, 2009-2023",,,,,,,,,,,,,,,,
[İkametgah yerine göre-By the place of usual residence],,,,,,,,,,,,,,,,
,,Yıl-Year,,,,,,,,,,,,,,
,Kadın-Female,1094,925.0,786.0,859.0,820.0,930.0,884.0,876.0,797.0,752.0,669.0,586,563,504,498.0
,,,,,,,,,,,,,,,,
İzmir,Toplam-Total,670,489.0,550.0,589.0,379.0,508.0,477.0,390.0,371.0,364.0,357.0,275,341,371,314.0
,Erkek-Male,386,269.0,276.0,324.0,204.0,284.0,249.0,207.0,202.0,204.0,188.0,161,187,198,174.0
,Kadın-Female,284,220.0,274.0,265.0,175.0,224.0,228.0,183.0,169.0,160.0,169.0,114,154,173,140.0
,,,,,,,,,,,,,,,,
Kars,Toplam-Total,59,94.0,103.0,86.0,97.0,77.0,90.0,75.0,46.0,57.0,56.0,61,48,50,46.0
,Erkek-Male,30,49.0,47.0,50.0,55.0,44.0,40.0,43.0,23.0,25.0,31.0,38,25,28,25.0
,Kadın-Female,29,45.0,56.0,36.0,42.0,33.0,50.0,32.0,23.0,32.0,25.0,23,23,22,21.0
,,,,,,,,,,,,,,,,
Kastamonu,Toplam-Total,53,50.0,31.0,47.0,37.0,32.0,33.0,25.0,28.0,33.0,28.0,18,17,22,21.0
,Erkek-Male,28,35.0,16.0,25.0,20.0,17.0,14.0,11.0,15.0,18.0,16.0,8,13,10,10.0
,Kadın-Female,25,15.0,15.0,22.0,17.0,15.0,19.0,14.0,13.0,15.0,12.0,10,4,12,11.0
,,,,,,,,,,,,,,,,
Kayseri,Toplam-Total,223,217.0,227.0,257.0,217.0,247.0,254.0,191.0,185.0,212.0,221.0,183,183,181,166.0
,Erkek-Male,133,116.0,125.0,142.0,114.0,127.0,157.0,113.0,101.0,117.0,111.0,92,107,106,92.0
,Kadın-Female,90,101.0,102.0,115.0,103.0,120.0,97.0,78.0,84.0,95.0,110.0,91,76,75,74.0
,,,,,,,,,,,,,,,,
Kırklareli,Toplam-Total,28,22.0,26.0,21.0,37.0,24.0,18.0,22.0,32.0,19.0,22.0,16,18,16,18.0
,Erkek-Male,15,12.0,17.0,11.0,22.0,12.0,13.0,9.0,18.0,11.0,12.0,10,14,12,7.0
,Kadın-Female,13,10.0,9.0,10.0,15.0,12.0,5.0,13.0,14.0,8.0,10.0,6,4,4,11.0
,,,,,,,,,,,,,,,,
Kırşehir,Toplam-Total,28,34.0,32.0,20.0,18.0,20.0,23.0,18.0,27.0,28.0,42.0,27,23,29,21.0
,Erkek-Male,18,18.0,15.0,7.0,10.0,8.0,12.0,12.0,12.0,17.0,26.0,13,12,21,9.0
,Kadın-Female,10,16.0,17.0,13.0,8.0,12.0,11.0,6.0,15.0,11.0,16.0,14,11,8,12.0
,,,,,,,,,,,,,,,,
Kocaeli,Toplam-Total,307,254.0,213.0,268.0,234.0,253.0,240.0,227.0,225.0,256.0,257.0,197,213,198,168.0
,Erkek-Male,172,128.0,119.0,131.0,124.0,148.0,141.0,128.0,132.0,138.0,148.0,121,114,99,91.0
,Kadın-Female,135,126.0,94.0,137.0,110.0,105.0,99.0,99.0,93.0,118.0,109.0,76,99,99,77.0
,,,,,,,,,,,,,,,,
Konya,Toplam-Total,667,609.0,512.0,488.0,419.0,384.0,340.0,339.0,343.0,320.0,260.0,255,251,230,253.0
,Erkek-Male,369,329.0,285.0,260.0,208.0,204.0,191.0,190.0,188.0,162.0,143.0,144,143,143,144.0
,Kadın-Female,298,280.0,227.0,228.0,211.0,180.0,149.0,149.0,155.0,158.0,117.0,111,108,87,109.0
,,,,,,,,,,,,,,,,
Kütahya,Toplam-Total,133,128.0,83.0,88.0,81.0,74.0,72.0,68.0,63.0,44.0,33.0,36,31,36,31.0
,Erkek-Male,72,69.0,41.0,40.0,38.0,43.0,44.0,38.0,35.0,21.0,17.0,22,14,19,20.0
,Kadın-Female,61,59.0,42.0,48.0,43.0,31.0,28.0,30.0,28.0,23.0,16.0,14,17,17,11.0
,,,,,,,,,,,,,,,,
Malatya,Toplam-Total,260,210.0,179.0,239.0,167.0,159.0,122.0,124.0,109.0,117.0,112.0,83,83,64,86.0
,Erkek-Male,132,106.0,105.0,130.0,94.0,77.0,69.0,65.0,68.0,71.0,73.0,50,50,39,49.0
,Kadın-Female,128,104.0,74.0,109.0,73.0,82.0,53.0,59.0,41.0,46.0,39.0,33,33,25,37.0
,,,,,,,,,,,,,,,,
Manisa,Toplam-Total,297,241.0,200.0,237.0,169.0,185.0,175.0,217.0,206.0,204.0,173.0,140,166,130,138.0
,Erkek-Male,172,139.0,102.0,137.0,96.0,109.0,101.0,117.0,120.0,130.0,101.0,88,88,76,74.0
,Kadın-Female,125,102.0,98.0,100.0,73.0,76.0,74.0,100.0,86.0,74.0,72.0,52,78,54,64.0
,,,,,,,,,,,,,,,,
Kahramanmaraş,Toplam-Total,334,296.0,323.0,290.0,315.0,266.0,267.0,261.0,220.0,233.0,198.0,181,174,149,293.0
,Erkek-Male,177,166.0,176.0,162.0,179.0,149.0,126.0,149.0,132.0,126.0,119.0,108,89,79,149.0
,Kadın-Female,157,130.0,147.0,128.0,136.0,117.0,141.0,112.0,88.0,107.0,79.0,73,85,70,144.0
,,,,,,,,,,,,,,,,
Mardin,Toplam-Total,337,345.0,294.0,317.0,296.0,357.0,270.0,276.0,283.0,306.0,223.0,281,261,205,206.0
,Erkek-Male,172,197.0,156.0,162.0,163.0,212.0,151.0,150.0,154.0,157.0,107.0,167,140,112,111.0
,Kadın-Female,165,148.0,138.0,155.0,133.0,145.0,119.0,126.0,129.0,149.0,116.0,114,121,93,95.0
,,,,,,,,,,,,,,,,
Muğla,Toplam-Total,144,114.0,122.0,97.0,84.0,77.0,78.0,104.0,72.0,78.0,80.0,59,72,78,59.0
,Erkek-Male,87,66.0,54.0,53.0,44.0,36.0,42.0,58.0,31.0,51.0,52.0,37,44,49,34.0
,Kadın-Female,57,48.0,68.0,44.0,40.0,41.0,36.0,46.0,41.0,27.0,28.0,22,28,29,25.0
,,,,,,,,,,,,,,,,
Muş,Toplam-Total,262,186.0,181.0,167.0,154.0,160.0,173.0,164.0,163.0,135.0,128.0,114,119,113,100.0
,Erkek-Male,125,100.0,81.0,85.0,84.0,98.0,90.0,83.0,78.0,61.0,59.0,54,60,55,61.0
,Kadın-Female,137,86.0,100.0,82.0,70.0,62.0,83.0,81.0,85.0,74.0,69.0,60,59,58,39.0
,,,,,,,,,,,,,,,,
Nevşehir,Toplam-Total,45,42.0,35.0,44.0,45.0,31.0,41.0,25.0,41.0,37.0,53.0,43,38,40,36.0
,Erkek-Male,22,28.0,21.0,23.0,21.0,21.0,23.0,12.0,25.0,22.0,30.0,27,19,19,19.0
,Kadın-Female,23,14.0,14.0,21.0,24.0,10.0,18.0,13.0,16.0,15.0,23.0,16,19,21,17.0
,,,,,,,,,,,,,,,,
Niğde,Toplam-Total,80,82.0,57.0,78.0,45.0,63.0,48.0,52.0,44.0,54.0,50.0,44,43,65,42.0
,Erkek-Male,36,43.0,31.0,38.0,17.0,31.0,24.0,28.0,18.0,28.0,30.0,26,25,41,26.0
,Kadın-Female,44,39.0,26.0,40.0,28.0,32.0,24.0,24.0,26.0,26.0,20.0,18,18,24,16.0
,,,,,,,,,,,,,,,,
Ordu,Toplam-Total,149,122.0,124.0,109.0,78.0,80.0,69.0,70.0,90.0,65.0,56.0,39,49,71,35.0
